Puppy,Failure,FailureIncProjection,Litter,MomBreed,PupSex,BirthSeason,Parity,PupBreed,LitterSz,TestAge,YAPCIsoAnx,YAPCIsoExplore,YAPCDistract,YAPCAttentive,YAPCDogMagSolve,YAPCDogMagAccu,YAPCDogTor,YACyl,YAPCDetour,YAPCGreet,YARetrieval,YAPCNovObjWary,YAPCNovObjQ,YAPCUmReactive,YAPCUmRecovery
1,0,0,M01,Labrador Retriever,1,1,4,Labrador Retriever,6,16,3.201905975,1.832484174,-0.510042213,-1.35332368,0.526877889,0.582375631,-1.554720351,0.835880353,-0.355067553,-2.723216802,-1.665224862,0.094344627,-1.076406461,-0.544594319,1.71818454
2,1,1,M01,Labrador Retriever,1,1,4,Labrador Retriever,6,16,-1.301302887,-1.429716161,0.521851753,-1.19026259,0.924732365,-1.0541729,-0.570815757,0.835880353,0.011265428,0.476735668,0.218065161,-0.38733676,-0.250189801,-0.276458032,-2.145986624
3,0,0,M01,Labrador Retriever,1,1,4,Labrador Retriever,6,16,0.830037814,-1.155859189,-0.985977372,-1.010080347,0.664056147,-0.235856423,-0.086281817,-0.491396329,-0.619230145,0.328434285,0.218065161,-0.018744044,-0.39100444,-0.655978667,0.152662095
4,0,0,M01,Labrador Retriever,1,1,4,Labrador Retriever,6,16,0.327201508,0.234537584,-0.833315126,-0.732617763,-2.351396062,0.155173372,NA,0.172242012,-0.442842115,0.867589191,0.218065161,-0.718151278,-0.375977037,0.712135647,-0.292854198
5,0,0,M01,Labrador Retriever,0,1,4,Labrador Retriever,6,16,0.438366463,0.966927595,-0.755822002,0.04945246,-1.962277764,-1.011024187,0.164173238,0.835880353,0.085640023,0.328434285,0.97138117,-0.082234184,0.191883035,-0.196074733,-0.569486593
6,0,0,M01,Labrador Retriever,0,1,4,Labrador Retriever,6,16,0.720936334,-0.851871125,0.32573779,-0.47136788,0.730996294,1.355549995,0.95418879,0.835880353,-0.518253814,0.223737202,-0.911908853,-0.169279653,-1.082747122,-1.47220826,-0.268400037
7,0,0,M02,Golden Retriever,1,1,1,Golden Retriever,9,16,-0.266858498,-0.511507186,0.210322562,-0.615183651,-2.997279302,-1.336361259,-1.542888712,0.835880353,-0.60108366,0.834431218,0.97138117,-0.138969237,0.375029886,-0.28805552,-0.425056855
8,0,0,M02,Golden Retriever,1,1,1,Golden Retriever,9,16,0.160692632,-1.763279934,-0.907809161,0.48750333,-1.251774376,-1.057391551,1.135231742,-0.491396329,-0.574901717,0.581432751,0.97138117,2.552871583,0.714315119,0.271635275,2.139246673
9,0,0,M02,Golden Retriever,1,1,1,Golden Retriever,9,16,1.178580083,-0.26418006,-1.156588039,-0.681679523,-0.050959331,-0.211981001,0.981420428,-1.15503467,0.097470208,-1.777538883,0.97138117,2.879804157,0.77806615,1.034068401,-0.798358279
10,NA,1,M02,Golden Retriever,1,1,1,Golden Retriever,9,16,-0.09812633,-0.458916157,-0.498767054,0.17089266,-0.210587753,-1.747780811,0.210222842,0.172242012,-0.518475406,-1.744380909,0.218065161,2.631850501,0.83510567,0.988078008,-0.72614341
