Puppy,ZPAIsoActivity,ZPAIsoNearExit,ZPAIsoMobile,ZPAIsoVocal,ZPAToyDiff,ZPADistractConToyAvg,ZPADistractConFoodAvg,ZPAAttBody1,ZPAAttBody2,ZPAAttFace1,ZPAAttFace2,ZPAMagSolve,ZPAMagCorrect,ZPAMagAccu,ZPAMagPersist,ZPATorSolve,ZPATorPersev,ZPACylScore,ZPADetourScore,ZPADetourSolve1,ZPADetourSolve2,ZPADetourSolve3,ZPAGreetApp,ZPAGreetInteract,ZPARetTotal,ZNovApp,ZNovOri,ZNovLatVoc,ZPAUmResponse,ZPAUmApp,ZPAUmCon
1,0.871675847,1.271113262,0.299399929,4.092103537,-0.326026333,-0.927051581,0.100830951,-1.229926476,-1.104721156,-1.181740777,-1.071468331,-0.443048613,0.396578289,0.682308419,0.686952613,-1.022861874,-1.764082584,0.835880353,0.426879441,-0.600169943,0.25097592,-0.261361918,3.195681553,-1.476843244,-1.665224862,-0.37346011,0.42191449,-1.238468301,0.447792398,2.123091801,-0.889918761
2,-1.285721874,-2.283964012,-1.625681564,-0.438251088,2.597726417,0.458317636,-1.814957112,-1.039368721,-1.045103419,-0.88337678,-1.071468331,-0.658209348,0.396578289,-0.905609356,1.0376703,-1.044070912,0.020843931,0.835880353,0.426879441,1.391478953,-0.466354969,-0.482067537,-0.552340022,0.299566394,0.218065161,-0.428435422,-0.253967946,-0.315784746,-1.384711877,-0.467469754,2.821693631
3,-0.5665893,1.271113262,-1.795541696,0.049633256,-0.685872826,-0.465261842,-1.176361091,-0.549363066,-1.074912287,-0.783922114,-1.026257262,-0.412311365,0.396578289,-0.111650469,0.837260193,-0.662308236,0.507642072,-0.491396329,0.426879441,-0.62254802,-0.370710851,-0.482067537,-0.177537864,0.426452797,0.218065161,-0.428435422,0.376855661,-0.532886759,-0.46845974,-0.467469754,-1.027385886
4,0.51210956,1.271113262,0.299399929,-0.507948852,-0.460968768,-0.927051581,-0.53776507,-0.576585602,-0.717205863,-0.485558117,-0.709779783,1.554872503,-2.42353399,-0.111650469,-2.118788885,NA,NA,0.172242012,0.426879441,-0.689682252,0.155331802,-0.371714727,-0.364938943,1.187771214,0.218065161,-0.400947766,-0.884791553,-0.370060249,0.447792398,-0.467469754,0.34728537
5,0.871675847,0.001442807,0.412640017,0.5375176,-0.775834449,-0.465261842,-0.53776507,-0.222692629,-0.061410752,0.078018322,0.375285862,1.554872503,-3.83359013,-0.905609356,-0.164790342,0.143635189,0.150656769,0.835880353,0.426879441,1.570503573,-0.41853291,-0.482067537,-0.177537864,0.426452797,0.97138117,-0.37346011,0.286738003,0.091281528,-0.46845974,-0.467469754,0.34728537
6,-1.285721874,0.318860421,-0.663140817,1.234495235,-0.101122276,-0.465261842,1.378022993,-0.386027847,-0.627779257,-0.154042565,-0.438513371,-0.996319076,0.396578289,1.476267306,0.88736272,1.267714177,0.442735653,0.835880353,0.426879441,-0.309254935,-0.41853291,-0.426891132,-0.364938943,0.045793589,-0.911908853,-0.345972454,-0.073732629,-1.184192798,-1.384711877,-0.467469754,-0.752451635
7,-0.746372444,0.128409853,0.242779885,-0.159460035,-0.23606471,-0.003472103,0.739426972,-0.82158843,-0.210455095,-0.783922114,-0.257669097,1.554872503,-3.83359013,-1.699568244,-2.82022426,-1.001652837,-1.764082584,0.835880353,0.426879441,-0.756816485,-0.179422613,-0.482067537,-0.552340022,0.933998408,0.97138117,-0.400947766,0.241679174,0.281245789,-0.46845974,-0.467469754,0.072351119
8,-1.465505017,1.271113262,-1.172721213,-0.507948852,-0.640892014,-0.927051581,-0.53776507,0.348980636,0.087633591,0.608443205,0.601341205,1.554872503,-2.42353399,-0.905609356,0.286132399,1.267714177,0.767267747,-0.491396329,0.426879441,-0.600169943,-0.466354969,-0.206185513,-0.364938943,0.680225603,0.97138117,2.842595659,1.548385217,1.068240586,1.364044536,2.123091801,-1.164853012
9,-0.386806157,0.953695649,-0.663140817,1.164797471,-0.595911202,-0.927051581,-1.176361091,-0.767143357,-0.597970388,-0.551861227,-0.393302303,1.063076536,0.396578289,-0.111650469,0.436439979,0.991996689,0.767267747,-1.15503467,0.426879441,0.250197002,0.155331802,0.566284155,2.071275081,-0.969297633,0.97138117,2.842595659,2.134149995,1.068240586,0.447792398,-0.467469754,1.309555249
10,-0.746372444,1.271113262,0.978840456,-0.507948852,-0.011160652,-0.003472103,-1.176361091,-0.685475748,0.773237571,-0.485558117,1.008240822,1.554872503,0.396578289,-1.699568244,0.085722292,-0.195709411,0.57254849,0.172242012,0.426879441,-0.600169943,-0.41853291,-0.040656298,2.258676159,-0.715524828,0.218065161,2.485256129,2.089091166,1.068240586,0.447792398,-0.467469754,1.172088124
11,-0.746372444,-1.395194693,0.978840456,-0.507948852,-2.125258795,-0.465261842,1.378022993,-0.086579947,0.56457549,-0.220345675,-0.212458029,1.554872503,-1.01347785,0.682308419,-1.717968671,1.267714177,0.637454909,0.172242012,0.426879441,-0.71206033,-0.083778495,-0.426891132,4.882291262,-3.507025688,0.97138117,2.842595659,0.692267465,1.068240586,0.447792398,2.123091801,-1.027385886
12,2.309940994,-0.379458329,0.412640017,-0.507948852,-0.460968768,-0.003472103,-0.53776507,-0.984923648,-0.985485681,-0.850225224,-1.071468331,1.554872503,-3.83359013,-0.905609356,-1.818173725,NA,NA,0.835880353,0.426879441,-0.779194562,-0.41853291,-0.371714727,-0.364938943,-0.081092814,0.97138117,2.842595659,1.41320873,1.068240586,1.364044536,0.827811023,-0.614984509
13,-0.386806157,0.826728603,0.299399929,0.607215364,-0.640892014,-2.312420799,-2.453553133,-0.984923648,-0.925867944,-1.049134556,-1.071468331,-0.227887877,0.396578289,1.476267306,0.73705514,1.267714177,1.189159468,0.172242012,0.426879441,-0.823950717,-0.514177029,-0.537243942,-0.364938943,1.314657617,0.97138117,-0.428435422,1.142855756,-0.858539778,0.447792398,-0.467469754,-0.477517384
14,-0.746372444,1.461563831,0.299399929,0.398122073,-0.011160652,-0.465261842,0.100830951,-0.658253211,0.236677935,-0.618164338,0.73697441,0.018010106,0.396578289,0.682308419,0.586747559,NA,NA,0.172242012,0.426879441,0.339709311,0.25097592,-0.482067537,-0.552340022,-0.334865619,-2.041882867,-0.37346011,0.737326294,-0.939953033,1.364044536,2.123091801,-0.614984509
15,1.59080842,-0.696875943,0.978840456,-0.507948852,0.618570709,-0.003472103,1.378022993,-1.338816622,-1.104721156,-1.248043887,-1.071468331,1.524135255,0.396578289,1.476267306,-1.26704593,1.267714177,0.799720956,0.172242012,0.426879441,-0.779194562,-0.41853291,-0.151009108,0.384665372,0.680225603,-2.041882867,-0.400947766,-0.344085604,-0.505749007,1.364044536,-0.467469754,-1.164853012
16,0.152543273,-0.823842988,0.808980325,-0.507948852,-0.505949579,-0.465261842,-0.53776507,-0.767143357,-0.538352651,-0.817073669,-0.619357646,NA,NA,NA,NA,-1.001652837,-0.303688162,0.835880353,0.426879441,-0.62254802,-0.275066732,0.180049321,2.633478317,-1.476843244,-0.158592844,-0.37346011,0.692267465,-0.071544982,0.447792398,2.123091801,-0.752451635
17,-0.5665893,0.382343944,-0.323420554,-0.507948852,3.047534532,1.381897114,1.378022993,0.675651073,-1.104721156,0.044866766,-1.071468331,1.554872503,-1.01347785,-0.111650469,-1.567661091,-1.065279949,-1.764082584,0.835880353,0.426879441,-0.80157264,0.777018573,0.345578536,-0.177537864,-1.096184036,0.97138117,-0.345972454,0.016385029,1.068240586,0.447792398,-0.467469754,-0.065116007
18,1.05145899,1.080662694,-0.54990073,1.582984052,-1.40556581,-0.465261842,1.378022993,-0.658253211,2.472343086,-0.618164338,1.595984712,-0.289362373,0.396578289,-0.905609356,0.135824819,-1.044070912,0.410282444,-0.491396329,-1.600797903,-0.644926097,5.08100391,-0.371714727,-0.364938943,-0.461752022,-1.288566858,-0.400947766,-0.974909211,-0.994228536,1.364044536,-0.467469754,-0.202583132
19,-0.02723987,-1.204744125,0.865600368,-0.507948852,2.732668851,1.381897114,1.378022993,-1.012146185,-1.045103419,-1.049134556,-0.981046194,0.479068825,0.396578289,0.682308419,-1.016533297,-0.619890161,-0.595767047,0.835880353,0.426879441,-0.667304175,-0.275066732,0.345578536,0.009863215,1.060884811,0.97138117,-0.318484798,-0.208909117,-0.505749007,-0.46845974,2.123091801,-0.752451635
20,0.871675847,0.001442807,0.242779885,-0.507948852,0.888455578,-0.003472103,0.739426972,1.900665212,0.385722278,1.735596082,0.149230519,0.509806073,0.396578289,-0.905609356,0.88736272,-0.768353424,0.929533793,0.172242012,0.426879441,-0.779194562,-0.131600554,-0.426891132,0.009863215,0.807112005,0.97138117,-0.37346011,-0.253967946,1.068240586,0.447792398,-0.467469754,-0.202583132
21,-1.465505017,-1.458678216,-0.54990073,-0.507948852,-0.505949579,-0.927051581,0.100830951,0.348980636,2.025210056,-0.154042565,1.05345189,NA,NA,NA,NA,NA,NA,NA,0.426879441,-0.71206033,-0.370710851,0.180049321,0.75946753,0.426452797,-2.041882867,-0.345972454,-0.884791553,1.068240586,0.447792398,-0.467469754,2.54675938
22,-0.207023014,1.588530876,-0.606520774,-0.298855562,2.10293749,1.843686853,0.739426972,1.138434192,-0.419117176,0.442685429,-0.302880166,0.079484602,0.396578289,-1.699568244,0.085722292,1.267714177,0.183109978,0.835880353,0.426879441,-0.107852238,0.585730335,-0.482067537,-0.552340022,-0.588638425,0.218065161,-0.428435422,0.46697332,1.068240586,-0.46845974,-0.467469754,-0.889918761
23,-0.386806157,1.20762974,0.412640017,-0.298855562,0.798493955,1.381897114,0.739426972,-0.549363066,-0.448926045,-0.386103451,-0.48372444,0.233170842,0.396578289,-0.905609356,0.336234926,1.267714177,0.6050017,0.172242012,0.426879441,-0.734438407,-0.514177029,-0.537243942,-0.364938943,0.807112005,0.218065161,-0.400947766,0.286738003,-0.967090785,-1.384711877,-0.467469754,-0.065116007
24,-0.746372444,-1.585645262,0.695740237,-0.507948852,-0.23606471,0.920107375,0.100830951,1.900665212,2.472343086,0.542140095,2.228939672,-0.78115834,0.396578289,-0.111650469,0.586747559,1.267714177,0.410282444,0.835880353,0.426879441,-0.71206033,-0.227244673,-0.206185513,-0.552340022,0.807112005,0.97138117,-0.318484798,2.359444141,-0.505749007,-1.384711877,-0.467469754,-0.202583132
25,0.332326417,0.826728603,0.752360281,-0.507948852,0.34868584,1.381897114,0.739426972,1.900665212,2.472343086,1.835050748,1.957673261,0.356119834,0.396578289,-1.699568244,0.486542506,-0.683517274,0.150656769,-0.491396329,-1.600797903,1.77190627,-0.275066732,-0.426891132,0.946868608,0.045793589,0.97138117,2.842595659,0.962620439,1.068240586,0.447792398,0.827811023,-1.027385886
26,0.691892703,0.255376898,0.865600368,-0.438251088,-0.056141464,-1.388841321,0.100830951,-0.195470092,0.445340016,-0.651315893,-0.890624057,-0.258625125,0.396578289,-1.699568244,0.236029872,1.267714177,0.248016397,0.835880353,0.426879441,-0.80157264,-0.514177029,-0.426891132,-0.552340022,0.426452797,-0.158592844,-0.428435422,1.052738097,0.037006025,0.447792398,-0.467469754,-0.202583132
